l2miss,r1b2,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,llc_occupancy,wall-cycles
421185,27168,22088,9701796334,4578643259,553630863,125960,1552,0.00,355820832
413626,27904,33418,9641196095,4551111866,548479396,119886,2173,0.00,420881631
402043,30175,34255,9648265503,4556366158,549198723,118319,2462,0.00,420742815
412580,31128,35431,9614291768,4541604050,547590154,119105,2962,24576.00,420787716
412084,29980,34369,9671500689,4566023399,549960208,119502,2958,29491.20,421011753
410206,28921,34317,9672571327,4565504407,549618162,119303,2846,32768.00,421018977
411910,28900,33703,9694781006,4574827884,550504094,120360,2899,49152.00,420763767
413644,27737,33766,9699274780,4577432414,550996871,121756,3025,55296.00,421026258
415727,26966,33150,9725067850,4588869319,552334135,122701,3081,60074.67,420830151
417131,26923,34019,9699847536,4576650401,550794313,122997,3102,63897.60,420808869
415137,26932,33515,9711116004,4582683964,551752143,122524,3121,67025.45,421038642
415464,26713,33490,9713701608,4583691739,551820444,122337,3146,69632.00,420792321
415287,26434,33374,9725578967,4588520774,552298837,121935,3124,71837.54,421062579
416724,27013,33747,9732503073,4592275919,552997554,122609,3228,73728.00,420844869
417852,27106,34016,9734930840,4594012159,553460696,123876,3222,75366.40,420896400
420067,26494,33475,9745812702,4599269266,554203674,125376,3189,76800.00,420836748
423034,26996,33641,9752116393,4601745299,554538073,126584,3224,78064.94,420895638
423434,27114,33794,9750140445,4601149102,554647949,127653,3303,79189.33,420802779
424981,27240,33814,9739783629,4596087783,554064780,129086,3287,80195.37,420798441
425834,26988,33467,9745505726,4598834467,554504062,130192,3231,81100.80,420814812
426790,26859,33357,9743643883,4598285442,554452496,130828,3188,81920.00,420940683
427417,26813,33110,9751513226,4601502515,554846100,131950,3193,82664.73,420786705
428365,26829,33017,9748225673,4600220768,554721824,132873,3129,83344.70,420962130
428772,26402,32878,9753965720,4602464737,554987021,133489,3125,83968.00,420759357
430968,26483,32697,9761815284,4606132040,555435805,134205,3131,84541.44,420797349
429999,26176,32468,9765649548,4607875054,555629800,134928,3087,85070.77,420881244
429508,26243,32468,9764102872,4607265138,555602193,135177,3121,85560.89,420815640
429916,26327,32276,9767138153,4608832570,555794970,135150,3128,86016.00,420706698
430115,26368,32327,9763772639,4607365386,555666946,135043,3119,89829.52,420823233
428442,26223,32168,9765699649,4608279688,555799184,134615,3096,90112.00,420831741
427162,26206,32097,9760677206,4606323544,555651809,134241,3085,90376.26,421007229
426050,26338,31973,9762147697,4607027057,555730935,133589,3100,90624.00,420704901
425887,26510,32134,9758464792,4605120536,555545543,133029,3130,92346.18,420593979
424206,26448,32038,9762095245,4606821662,555719312,132214,3092,93967.06,420849714
422810,26457,32084,9763602308,4607809963,555910825,131421,3120,95495.31,420982755
420896,26369,32017,9764853326,4608184679,556011463,130681,3135,96938.67,420799155
419985,26427,32095,9758402192,4605687500,555794601,130074,3176,99632.43,420867270
418679,26499,32026,9763591954,4607780142,556042011,129637,3153,104771.37,420915447
417811,26507,32051,9761669392,4606979694,555993855,129122,3176,113427.69,420939366
416168,26408,31887,9760241812,4606593411,556017092,128519,3176,120422.40,420802113
415297,26570,31913,9761258875,4607007875,556083726,128230,3169,127075.90,421015491
414947,26757,31968,9758334061,4605825406,555979946,128028,3177,132242.29,420891735
413918,26847,32037,9755933133,4605175010,556013378,127552,3171,138311.44,420829056
413403,26959,32022,9756871942,4605649104,556087740,127232,3157,144104.73,421110759
412382,27062,32053,9757546661,4606030365,556141583,127024,3172,149640.53,420722679
410345,27186,32087,9755112702,4604920007,555990550,126340,3162,154935.65,420919086
408984,27228,32068,9756032135,4605575744,556077466,126028,3156,160005.45,420814917
408720,27406,32250,9750998009,4603090515,555759118,125761,3135,164864.00,420862656
407974,27420,32156,9752640864,4604113196,555894097,125516,3126,169524.24,420969744
407740,27516,32234,9749655837,4602620883,555706329,125326,3124,173998.08,420893949
406525,27412,32151,9750479102,4603250335,555751286,124932,3113,178296.47,421605777
406115,27434,32169,9751412519,4603574414,555769334,124605,3123,184320.00,420453063
405369,27361,32067,9754115178,4604903552,555882849,124397,3122,188261.43,420581076
405146,27355,32059,9755060375,4605531115,555949877,124183,3110,192056.89,420633738
404476,27224,31985,9757669940,4606646218,556066797,123902,3116,195714.33,420785010
404360,27133,31871,9760992193,4608383984,556266828,123765,3110,199241.14,421135872
404211,27257,31763,9761338318,4608439656,556244586,123482,3122,202644.21,420684915
403776,27367,31859,9754246856,4605080151,555836709,123265,3146,205929.93,421044006
403062,27303,31795,9754025945,4604874176,555772704,122987,3133,209104.27,420738357
402988,27405,31914,9751964957,4603842784,555626801,122865,3128,212172.80,420790578
402276,27348,31868,9753317525,4604491568,555662140,122644,3111,215140.72,421047879
402090,27426,31829,9752120437,4603712527,555540513,122388,3103,218012.90,420681861
401621,27333,31821,9753085567,4604195226,555595857,122167,3100,220793.90,420991614
400927,27148,31735,9754613652,4604807160,555626263,121928,3094,223488.00,420863616
400263,27231,31806,9753016100,4604107258,555523537,121712,3090,226099.20,420825501
399998,27158,31785,9754786773,4604922834,555607311,121586,3090,228631.27,420831222
399943,27179,31887,9753620710,4604198927,555504585,121517,3101,231087.76,420804000
399267,27073,31816,9755231350,4604899113,555568904,121319,3100,233472.00,420906255
399302,27101,31751,9756662703,4605634724,555666149,121287,3110,235787.13,420717780
398958,27080,31734,9757683072,4606045579,555701594,121129,3100,238036.11,421019196
398469,27030,31783,9759368665,4606839133,555797082,120925,3083,239529.46,420852966
397893,26997,31776,9760385029,4607327536,555881945,120742,3084,240981.33,420726336
398319,27006,31812,9760596283,4607550905,555941074,120775,3082,242393.42,420839064
397937,26956,31783,9761355614,4608040152,556005585,120576,3074,243767.35,420837405
397998,26994,31793,9760851914,4607737784,555991377,120578,3078,245104.64,420806367
397573,26912,31779,9761678477,4608132549,556046319,120426,3089,246406.74,420816243
397624,27008,31882,9758458379,4606778397,555919846,120320,3093,245760.00,420786057
397470,26987,31798,9760332416,4607676577,556022244,120206,3090,245129.85,420860202
397312,26949,31818,9761926394,4608297215,556082093,120026,3079,242649.11,420853260
396710,26892,31910,9762553679,4608670143,556134747,119850,3067,240230.40,420913932
396396,27021,32008,9762649584,4608622012,556118866,119660,3072,237871.41,420857307
396230,27034,32057,9762688152,4608650200,556123527,119505,3073,234970.54,420724974
396448,27043,32157,9760108021,4607410154,555978130,119452,3077,232731.76,420939600
396252,27041,32131,9759065283,4606835651,555886892,119289,3070,230546.29,420822744
396596,27066,32051,9762201373,4608273712,556064736,119226,3079,228412.24,420899235
396280,27153,32086,9761427407,4607859105,556012582,119036,3082,226327.81,420804918
396226,27180,32042,9761089828,4607705492,555971430,118934,3072,224291.31,420973833
396036,27365,32016,9761287430,4607602569,555910087,118684,3068,222301.09,420923529
394162,27381,32054,9760234659,4607100960,555800451,117992,3073,220355.60,420949164
392877,27452,32084,9760809119,4607174839,555735008,117421,3072,218453.33,420925653
392880,27499,32088,9761100273,4607409943,555780739,117359,3083,216592.88,420758742
392790,27517,32059,9761823733,4607683957,555779980,117303,3083,214772.87,420888087
392854,27479,32074,9763420253,4608403061,555863696,117384,3085,213520.52,420810876
392733,27393,32026,9762951347,4608292801,555853846,117367,3083,212294.81,420830610
392536,27371,31932,9764232761,4608825979,555892172,117277,3075,211094.91,420916218
392985,27420,31995,9763111595,4608386294,555838226,117263,3092,209920.00,421002342
392945,27366,31958,9763411562,4608420490,555824016,117258,3088,208769.32,421015086
393187,27449,31941,9765046440,4609256925,555934249,117249,3087,207642.12,420739839
392979,27411,31918,9765345085,4609415691,555950926,117181,3083,206537.70,420863022
392979,27430,31928,9765244229,4609456214,555971991,117187,3094,205455.36,420772119
392767,27394,31871,9765664737,4609756925,556020470,117210,3089,204881.11,420777756
392936,27503,31947,9764526405,4609350635,555980765,117233,3095,204800.00,420927846
392755,27539,32022,9764538081,4609433530,556001553,117113,3092,205197.67,420601893
392975,27573,32092,9764271667,4609273283,555992977,117131,3085,205587.69,420978567
392747,27561,32112,9764417310,4609466409,556024586,117079,3074,205970.29,420847707
392969,27549,32083,9766193403,4610362957,556165328,117169,3080,206345.66,420961296
393479,27550,32084,9765831963,4610173178,556157725,117274,3089,206714.02,420693072
393471,27484,32030,9766559407,4610568758,556227565,117343,3091,207075.56,420776343
393593,27435,32012,9766692638,4610675951,556262216,117459,3082,207430.46,420917928
393751,27430,31998,9766031734,4610472419,556262656,117497,3075,207778.91,420789345
393974,27500,32045,9766995772,4610955391,556339009,117547,3073,208121.08,420829110
393790,27473,31999,9767075818,4611055123,556375595,117578,3076,208457.14,420918279
394124,27563,32004,9765125368,4610230893,556307600,117742,3078,208787.26,420927567
394112,27551,31964,9766231549,4610730543,556386535,117808,3076,209111.58,420782922
393924,27624,32051,9765757558,4610604175,556396204,117805,3079,209430.26,420829623
393900,27573,31999,9765838068,4610669192,556435528,117929,3079,209743.45,421054341
393951,27690,31981,9767634437,4611459850,556548401,117979,3082,210051.28,420867612
391835,27691,32000,9767810300,4611530167,556539042,117239,3080,210353.90,420786390
391016,27824,32087,9766941498,4611132173,556502513,117014,3087,210651.43,420920841
390869,27790,32044,9766956310,4611177893,556523134,117050,3083,210944.00,421047348
390837,27842,32069,9767137969,4611286105,556555857,117141,3074,211231.74,420689622
390586,27829,32075,9766740230,4611111670,556552723,117124,3078,211514.75,421024284
390571,27859,32081,9768088882,4611773657,556644640,117131,3080,211793.17,420665301
390334,27826,32076,9768629331,4612029610,556684300,117130,3077,212067.10,420930612
390026,27864,32115,9767459845,4611553521,556632429,117040,3078,212336.64,420758031
389821,27766,32061,9767949205,4611714753,556656238,117045,3070,212601.90,420726861
389847,27739,32056,9768945024,4612257815,556738803,117063,3074,212862.99,421028754
389771,27720,32055,9768929828,4612236905,556736487,117062,3071,213120.00,420918147
389776,27736,32008,9769854459,4612616298,556772104,117065,3075,213373.02,420918618
389748,27798,31990,9770228603,4612806083,556813306,117053,3072,213622.15,420775212
389763,27813,31909,9771283863,4613359046,556887118,117072,3071,213867.48,420911013
389785,27871,31904,9770933270,4613147107,556881667,117055,3080,214109.09,420726978
389520,27820,31839,9770900425,4613191571,556900125,117006,3089,214347.07,420786924
389648,27920,31865,9769693387,4612704041,556851265,116919,3086,214581.49,420888339
389503,27907,31848,9770699860,4613146319,556915275,116802,3086,214812.44,420932514
389252,27864,31868,9769638283,4612613185,556854262,116672,3087,215040.00,420807708
389230,27876,31857,9769369022,4612598782,556877779,116629,3099,215264.23,420961428
389171,27869,31872,9769598315,4612751852,556913139,116608,3102,215485.22,420909336
389157,27897,31867,9769273716,4612634290,556911597,116597,3103,215703.02,421015965
389045,27933,31884,9769195895,4612585881,556908505,116533,3100,215917.71,420724746
387765,27898,31838,9770261088,4613053898,556944887,116095,3100,219266.72,420976350
387173,27944,31905,9770922950,4613446899,557004892,115870,3107,222568.56,420810882
386907,27917,31875,9771220230,4613643226,557032896,115847,3106,225824.22,421032597
386864,27915,31884,9771279552,4613611797,557022661,115834,3099,229034.67,420643971
386610,27858,31863,9771540748,4613779215,557050736,115807,3097,232200.83,420730038
396804,28165,31903,9770532731,4613444723,557096040,122671,3099,235323.62,420796296
508581,32038,31826,9762912682,4613480261,559623018,232635,3098,238403.92,420940599
619398,35405,31795,9756084133,4613744906,562143041,340423,3106,241442.59,420802617
731910,37914,31758,9748699067,4614032268,564689742,448772,3103,244440.48,421058667
924533,44245,31754,9730374931,4613311292,569962637,632783,3101,247398.40,420693300
1094105,50768,31671,9717213111,4613460111,574239354,794165,3094,250317.14,420983013
1285417,58031,31648,9699000523,4612915086,579704482,975593,3111,253197.47,420875367
1499192,67630,31597,9675935283,4613022325,586994342,1176743,3115,256040.16,420856656
1710482,74565,31537,9650615287,4612737344,594697312,1375339,3114,258845.92,421023258
1910654,81289,31541,9623249757,4612924888,603455908,1562018,3114,261298.37,421137684
2113587,91144,31478,9598977056,4613085389,611230443,1751192,3118,263719.38,420788106
2313902,100727,31439,9574620112,4613136605,618879788,1937235,3129,266109.55,420716883
2510887,110569,31364,9550623833,4613277107,626546028,2121679,3129,268469.47,420834153
2676560,118268,31376,9522875045,4610708044,633281399,2275755,3128,270799.70,420941631
2796887,122888,31519,9489902401,4603814668,638054814,2391903,3133,273100.80,421053975
2904640,127822,31755,9455049984,4596734313,643473421,2493887,3146,275678.61,420857181
3013749,132278,31896,9421043237,4591045882,649509333,2590629,3164,278224.59,420828507
3095447,136661,32052,9383711118,4582277897,654399925,2663243,3173,280739.34,420988920
3176247,143093,32162,9346432909,4575352922,660321403,2733992,3188,283223.41,420985218
3252480,148141,32296,9309175484,4567438573,665723431,2799434,3186,285677.38,420806565
3333607,154103,32356,9272963660,4560663805,671550185,2866370,3186,288101.78,420776694
3399615,158842,32526,9235934287,4551558724,675961474,2922958,3188,291085.80,420968646
3459043,165115,32694,9197631082,4542597468,680606123,2973204,3205,293449.14,421010739
3446156,165078,32582,9144786855,4517609891,677543028,2962156,3202,296366.20,420431514
